no,review_id,ulasan,penilai,penilai_semua,otomatis_utama,otomatis_semua,jaccard,sepakat_longgar
1,3384,prose Laporan ditindak lanjuti lama,Layanan Pelanggan & Penanganan Keluhan,Layanan Pelanggan & Penanganan Keluhan,TIDAK ADA YANG COCOK,,0.0,False
2,4304,"aplikasi makin kesini makin mengecewakan, 3 x ditolak driver g niat kerja!!!!!! 👎👎👎👎👎👎👎👎👎👎👎🏾",Ketersediaan & Respons Mitra Driver,Ketersediaan & Respons Mitra Driver,"Tarif, Ongkir & Promo","Tarif, Ongkir & Promo",0.0,False
3,5043,"Jelek, nyari driver aja susah banget di daerah Indotaisei, Cikampek, mending grab, cuihh",Ketersediaan & Respons Mitra Driver,Ketersediaan & Respons Mitra Driver,Ketersediaan & Respons Mitra Driver,Ketersediaan & Respons Mitra Driver | Layanan Pelanggan & Penanganan Keluhan,0.5,True
4,13379,aplikasi bodohh masa mau nyari driver udh kepepet yg terdekat pun gamau di prosesssss,Ketersediaan & Respons Mitra Driver,Ketersediaan & Respons Mitra Driver | Performa & Gangguan Aplikasi,Ketersediaan & Respons Mitra Driver,Ketersediaan & Respons Mitra Driver,0.5,True
5,13919,kenapa gojek & gopay tidak mencantumkan kontak resmi diaplikasinya? jadi kalau ada masalah susah sekali cara penyelesaiannya Krn tidak ada satupun informasi kontak dalam aplikasi cari diluar melalui WhatsApp juga akun gopay centang biru setelah ditelusuri melalui getcontact koq review orang2 pada mengarah ke hal yg aneh2 terkait akun gopay yg ada di WhatsApp,Layanan Pelanggan & Penanganan Keluhan,Layanan Pelanggan & Penanganan Keluhan,Transaksi & Saldo GoPay,"Akun, Login & Verifikasi | Ketersediaan & Respons Mitra Driver | Layanan Pelanggan & Penanganan Keluhan | Transaksi & Saldo GoPay",0.25,True
6,15640,iklannya meresahkan amjink,"Tarif, Ongkir & Promo","Tarif, Ongkir & Promo","Tarif, Ongkir & Promo","Tarif, Ongkir & Promo",1.0,True
7,15714,"Mikirnya order food pake yg express biar diantarnya duluan atau driver tidak dapat double order, eee ternyata sama aja justru driver entah double order dari aplikasi lain atau gimana malah yg diantar justru ke daerah yg setelah alamat saya dan terlihat di map juga justru di daerah lain yg bukan resto tempat saya pesan. Nanti kalau dikasih bintang satu dua padahal driver juga sering salah langsung di serang konsumennya hadeh",Pesanan GoFood & Pembatalan,Akurasi Lokasi & Rute | Pesanan GoFood & Pembatalan,Akurasi Lokasi & Rute,Akurasi Lokasi & Rute | Ketersediaan & Respons Mitra Driver | Layanan Pelanggan & Penanganan Keluhan | Pesanan GoFood & Pembatalan,0.5,True
8,19668,aplikasi penguras keringat driver online🥲,TIDAK ADA YANG COCOK,TIDAK ADA YANG COCOK,TIDAK ADA YANG COCOK,,1.0,True
9,21858,"Langganan plus tapi rugi banget gratong & promo cuma 3x doang abis itu gak bisa, bahkan diakon gofood yang kayak di akun biasa aja gak ada.. ya sama ajalah mending gak usah langganan nyesel sih","Tarif, Ongkir & Promo","Tarif, Ongkir & Promo","Akun, Login & Verifikasi","Akun, Login & Verifikasi | Pesanan GoFood & Pembatalan | Tarif, Ongkir & Promo",0.3333333333333333,True
10,22432,"Gojek setelah diambil alih grab jadi makin lama pelayanannya, lama parah. otw masuk waiting blacklist",Ketersediaan & Respons Mitra Driver,Ketersediaan & Respons Mitra Driver,Transaksi & Saldo GoPay,"Akurasi Lokasi & Rute | Ketersediaan & Respons Mitra Driver | Layanan Pelanggan & Penanganan Keluhan | Tarif, Ongkir & Promo | Transaksi & Saldo GoPay",0.2,True
11,22584,"saya kecewa pagi ini pesan gocar untuk bunda saya diminta edit tujuan, saya pikir menyesuaikan rute aja untuk lewat tol ternyata harga jadi naik yg awalnya 125.500 jadi 196.000 blm sama tol, total saya bayar jadi 229.000. kecewa karena ini pengalaman pertama, saya harap driver nya bisa ditindak lanjuti dan customer yg lain jgn mau kalau driver minta edit tujuan, saya kecewa sekali","Tarif, Ongkir & Promo","Ketersediaan & Respons Mitra Driver | Tarif, Ongkir & Promo",Akurasi Lokasi & Rute,"Akurasi Lokasi & Rute | GoPayLater, GoPinjam & Penagihan | Ketersediaan & Respons Mitra Driver | Layanan Pelanggan & Penanganan Keluhan | Tarif, Ongkir & Promo",0.4,True
12,23027,"driver dapet ny jauh².. gmn penumpang dan driver ga ngeluh . di maps bnyk driver, tp dapet ny yg jauh",Ketersediaan & Respons Mitra Driver,Ketersediaan & Respons Mitra Driver,Ketersediaan & Respons Mitra Driver,Ketersediaan & Respons Mitra Driver,1.0,True
13,29114,sangat lambat dalam pengantaran.Sangat tidak amanah. tidak mengedepankan kepuasan costumer. drivernya marah-marah. sangat kurang deh pokoknya,Layanan Pelanggan & Penanganan Keluhan,Layanan Pelanggan & Penanganan Keluhan,Layanan Pelanggan & Penanganan Keluhan,Layanan Pelanggan & Penanganan Keluhan,1.0,True
14,29188,ga sebagus dulu. nunggu driver sampai setengah jam lebih. banyak driver terdekat tapi malah dapet yg jauh jadinya lama.,Ketersediaan & Respons Mitra Driver,Ketersediaan & Respons Mitra Driver,Pesanan GoFood & Pembatalan,Ketersediaan & Respons Mitra Driver | Performa & Gangguan Aplikasi | Pesanan GoFood & Pembatalan,0.3333333333333333,True
15,37702,"aplikasi udh dimatiin. kadang"" ada driver tiba"" otw . alhasil sering ribut sama driver, krna apk error. kocak",Performa & Gangguan Aplikasi,Ketersediaan & Respons Mitra Driver | Performa & Gangguan Aplikasi,Performa & Gangguan Aplikasi,Akurasi Lokasi & Rute | Performa & Gangguan Aplikasi,0.3333333333333333,True
16,39176,makin minus pelayanannya responnya lama,Layanan Pelanggan & Penanganan Keluhan,Layanan Pelanggan & Penanganan Keluhan,Layanan Pelanggan & Penanganan Keluhan,"Layanan Pelanggan & Penanganan Keluhan | Tarif, Ongkir & Promo",0.5,True
17,44348,Maps tidak akurat,Akurasi Lokasi & Rute,Akurasi Lokasi & Rute,TIDAK ADA YANG COCOK,,0.0,False
18,44947,"susah banget skrg cari grabcar,posisi ga gerak chat ga dibales ... giliran sepi orderan ngeluh",Ketersediaan & Respons Mitra Driver,Ketersediaan & Respons Mitra Driver,Ketersediaan & Respons Mitra Driver,Ketersediaan & Respons Mitra Driver,1.0,True
19,49680,"Ga bisa kasih rating resto gofood, uninstall aja ga guna",Pesanan GoFood & Pembatalan,Performa & Gangguan Aplikasi | Pesanan GoFood & Pembatalan,Layanan Pelanggan & Penanganan Keluhan,Layanan Pelanggan & Penanganan Keluhan | Pesanan GoFood & Pembatalan,0.3333333333333333,True
20,50545,"pengiriman gofood nya lama banget, gabisa di cancel lagi kapok pake gofood lagi",Pesanan GoFood & Pembatalan,Pesanan GoFood & Pembatalan,Pesanan GoFood & Pembatalan,"Pesanan GoFood & Pembatalan | Tarif, Ongkir & Promo",0.5,True
21,50893,"Mohon untuk aplikasi gojek jika ada custumer membantalkan pesanan di permudah, karena driver saat hujan lebat susah di dapatkan. Saya pesan gofood saat hujan lebat sudah hampir 1 jam gak dapet2 tidak bisa di batalkan di konfrmsi bantuan tidak bisa trus..",Pesanan GoFood & Pembatalan,Ketersediaan & Respons Mitra Driver | Pesanan GoFood & Pembatalan,Pesanan GoFood & Pembatalan,Ketersediaan & Respons Mitra Driver | Layanan Pelanggan & Penanganan Keluhan | Pesanan GoFood & Pembatalan,0.6666666666666666,True
22,50934,Login diminta verifikasi wajah. Untuk apa?,"Akun, Login & Verifikasi","Akun, Login & Verifikasi","Akun, Login & Verifikasi","Akun, Login & Verifikasi",1.0,True
23,51761,"Mohon untuk bagian per-iklanan jangan biasakan langsung masuk ke aplikasi apa lagi langsung ke produk. Saya mengalami eror sistem yang mana melakukan transaksi tanpa saya pencet sendiri, baiknya dari pihak resto mau membatalkan mengingat kondisi sedang hujan yang mana susah mencari driver",Performa & Gangguan Aplikasi,Performa & Gangguan Aplikasi | Pesanan GoFood & Pembatalan,Ketersediaan & Respons Mitra Driver,"Ketersediaan & Respons Mitra Driver | Performa & Gangguan Aplikasi | Pesanan GoFood & Pembatalan | Tarif, Ongkir & Promo | Transaksi & Saldo GoPay",0.4,True
24,52481,"Kali ini aga kecewa sama Gofood, kepencet pesanan padahal belum masukin voucher dan mau edit pembelian belum 1 menit mau dibatalin udah ga bisa",Pesanan GoFood & Pembatalan,Pesanan GoFood & Pembatalan,Transaksi & Saldo GoPay,Performa & Gangguan Aplikasi | Pesanan GoFood & Pembatalan | Transaksi & Saldo GoPay,0.3333333333333333,True
