model_name,eval_set,n_eval,recall_neg,macro_f1,f1_neg,precision_neg,accuracy,train_seconds,predict_seconds,dedup_training,n_train,n_test
majority_baseline,full,19294,0.0,0.4195722150356487,0.0,0.0,0.7228672126049549,0.0020918670002174,0.00011300999995,True,45614,19294
majority_baseline,informative_ge5w,8696,0.0,0.3173182603234417,0.0,0.0,0.4648114075436982,0.0020918670002174,0.00011300999995,True,45614,19294
complement_nb,full,19294,0.955676080044885,0.9153525959574094,0.8815664625204865,0.8181235991034262,0.9288379807193946,0.0129785270000866,0.0020968419999007,True,45614,19294
complement_nb,informative_ge5w,8696,0.9716373012462398,0.8985551358468572,0.9127056211524875,0.8605137963843958,0.9005289788408464,0.0129785270000866,0.0020968419999007,True,45614,19294
multinomial_nb,full,19294,0.9399663362633252,0.9279101044291472,0.8976602964815146,0.8589984618014015,0.9406032963615631,0.0119330929996976,0.001906265999878,True,45614,19294
multinomial_nb,informative_ge5w,8696,0.9613235926085087,0.899100142139006,0.9120375089185608,0.8675586581345743,0.9007589696412144,0.0119330929996976,0.001906265999878,True,45614,19294
linear_svc,full,19294,0.9167757621095942,0.930052880112718,0.8996146081849881,0.8830841289857684,0.9432984347465532,0.4271046640001259,0.0012015309998787,True,45614,19294
linear_svc,informative_ge5w,8696,0.9331757627847014,0.9000315837055317,0.9098146014454802,0.8875945227876558,0.9009889604415824,0.4271046640001259,0.0012015309998787,True,45614,19294
logistic_regression,full,19294,0.9315504020946324,0.9336459386105808,0.9051426494639288,0.8801908464393002,0.94588991396289,0.3275647720001871,0.0010557089999565,True,45614,19294
logistic_regression,informative_ge5w,8696,0.9535883111302106,0.907771359738877,0.9180802647910632,0.8851216593538094,0.908923643054278,0.3275647720001871,0.0010557089999565,True,45614,19294
majority_baseline,full,19294,0.0,0.4195722150356487,0.0,0.0,0.7228672126049549,0.0026749700000436,7.422899989251164e-05,False,77172,19294
majority_baseline,informative_ge5w,8696,0.0,0.3173182603234417,0.0,0.0,0.4648114075436982,0.0026749700000436,7.422899989251164e-05,False,77172,19294
complement_nb,full,19294,0.974191135216009,0.9059618244937256,0.8702698187285941,0.7863828502415459,0.9195086555405826,0.0157882199996493,0.0018077079998874,False,77172,19294
complement_nb,informative_ge5w,8696,0.9875376020627418,0.8746936668487109,0.8970430369864351,0.8217414625424638,0.8786798528058878,0.0157882199996493,0.0018077079998874,False,77172,19294
multinomial_nb,full,19294,0.9409014400598468,0.9280662809463294,0.8979118329466357,0.858678955453149,0.9407069555302168,0.0159447299997737,0.0018767520000437,False,77172,19294
multinomial_nb,informative_ge5w,8696,0.966695315857327,0.8967787616018323,0.9108209332928434,0.8610526315789474,0.8986890524379025,0.0159447299997737,0.0018767520000437,False,77172,19294
linear_svc,full,19294,0.9373480456330652,0.929106320369144,0.8991747398636527,0.8639889674194104,0.9417435472167514,5.193844989999889,0.001014823999867,False,77172,19294
linear_svc,informative_ge5w,8696,0.9535883111302106,0.8985933644806701,0.9108260646485375,0.8717344333136908,0.9000689972401104,5.193844989999889,0.001014823999867,False,77172,19294
logistic_regression,full,19294,0.9586684121937536,0.9283024718565752,0.8989828130480533,0.8462935446590721,0.9402923188556028,0.4680618429997594,0.0010309089998372,False,77172,19294
logistic_regression,informative_ge5w,8696,0.9765792866351526,0.8951306413622794,0.9106391504708476,0.8530405405405406,0.8974241030358786,0.4680618429997594,0.0010309089998372,False,77172,19294
complement_nb_tuned,full,19294,0.9553020385262764,0.915278433368758,0.8814495254529767,0.818196379945539,0.928786151135068,1.1928295429997888,0.2466710769999736,True,45614,19294
complement_nb_tuned,informative_ge5w,8696,0.9714224323162872,0.898682345546939,0.9127801332525742,0.8608149276466108,0.9006439742410304,1.1928295429997888,0.2466710769999736,True,45614,19294
multinomial_nb_tuned,full,19294,0.9427716476528896,0.9295605226831606,0.900017853954651,0.8609735269000854,0.9419508655540584,1.2241431969996484,0.2426295390000632,True,45614,19294
multinomial_nb_tuned,informative_ge5w,8696,0.963472281908036,0.9015583611703344,0.9141692150866464,0.86966640806827,0.9031738730450782,1.2241431969996484,0.2426295390000632,True,45614,19294
linear_svc_tuned,full,19294,0.9369740041144567,0.9340938675360888,0.9059674502712476,0.8769473131454577,0.9460972323001968,1.4447152400002778,0.2616579959999399,True,45614,19294
linear_svc_tuned,informative_ge5w,8696,0.9570262140094542,0.906621538789714,0.9174992275208568,0.8811078140454995,0.907888684452622,1.4447152400002778,0.2616579959999399,True,45614,19294
logistic_regression_tuned,full,19294,0.9266878623527212,0.9337568402048076,0.9051054890857612,0.8845055337379507,0.9461490618845236,1.5721867490001389,0.2686619910000445,True,45614,19294
logistic_regression_tuned,informative_ge5w,8696,0.9452084228620542,0.9071216062481572,0.9167448160883608,0.889945377301234,0.9081186752529898,1.5721867490001389,0.2686619910000445,True,45614,19294
logistic_regression_final,full,19294,0.93155,0.933646,0.905143,0.880191,0.94589,1.7286,0.000724,True,45614,19294
logistic_regression_final,informative_ge5w,8696,0.953588,0.907771,0.91808,0.885122,0.908924,1.7286,0.000724,True,45614,19294
