n_gram,rank,term,freq,n_dokumen,persen_dokumen
1,1,tidak,22681,13703,58.98
1,2,pengemudi,14031,8838,38.04
1,3,aplikasi,7592,6095,26.24
1,4,gojek,7342,5545,23.87
1,5,nya,7190,5143,22.14
1,6,ada,7033,5539,23.84
1,7,bisa,6694,5198,22.37
1,8,batal,5356,4030,17.35
1,9,dapat,4689,3653,15.72
1,10,mau,4549,3800,16.36
1,11,kalau,4510,3764,16.2
1,12,pesan,4483,3487,15.01
1,13,lama,4433,3735,16.08
1,14,padahal,4126,3792,16.32
1,15,pakai,4105,3380,14.55
1,16,tunggu,3848,3084,13.27
1,17,jam,3451,2681,11.54
1,18,aja,3256,2852,12.28
1,19,sama,3210,2745,11.82
1,20,order,3146,2410,10.37
1,21,jadi,3084,2636,11.35
1,22,sangat,3055,2554,10.99
1,23,malah,3026,2650,11.41
1,24,makan,2977,2416,10.4
1,25,pelanggan,2828,2223,9.57
1,26,gofood,2731,2497,10.75
1,27,banget,2717,2353,10.13
1,28,terus,2662,2371,10.21
1,29,layan,2631,2126,9.15
1,30,lebih,2459,2131,9.17
2,1,tidak bisa,4292,3642,15.68
2,2,tidak ada,3496,3044,13.1
2,3,dapat pengemudi,2415,2055,8.85
2,4,tidak jelas,1345,1251,5.38
2,5,ongkos kirim,1141,885,3.81
2,6,pengemudi nya,1099,982,4.23
2,7,layan pelanggan,1098,924,3.98
2,8,tidak dapat,1078,991,4.27
2,9,pengemudi tidak,1054,990,4.26
2,10,cari pengemudi,1005,946,4.07
2,11,bisa batal,920,838,3.61
2,12,tidak mau,904,824,3.55
2,13,tiba tiba,852,797,3.43
2,14,tunggu jam,778,720,3.1
2,15,tunggu lama,712,660,2.84
2,16,aplikasi tidak,681,662,2.85
2,17,nya tidak,661,641,2.76
2,18,tidak pernah,660,621,2.67
2,19,tidak masuk,638,596,2.57
2,20,aplikasi gojek,603,553,2.38
2,21,mau ambil,551,510,2.2
2,22,pesan makan,540,515,2.22
2,23,ada pengemudi,524,491,2.11
2,24,kalau tidak,511,496,2.13
2,25,pakai gojek,500,482,2.07
2,26,bagus up,490,418,1.8
2,27,sama sekali,485,466,2.01
2,28,pesan gofood,484,476,2.05
2,29,pakai aplikasi,471,454,1.95
2,30,gojek tidak,458,445,1.92
