id,ulasan,ulasan_normalized,ulasan_clean,rating,word_count,menjadi_kosong,catatan_pemeriksa
75722,Menyenangkan,menyenangkan,senang,4,1,False,
80185,Servis baik.,servis baik,servis baik,5,2,False,
19865,Layanan cepat terpercaya,layanan cepat terpercaya,layan cepat percaya,5,3,False,
76700,memudahkan bagi yg tdk punya kendaraan sendri,memudahkan bagi yang tidak punya kendaraan sendiri,mudah tidak punya kendara sendiri,5,7,False,
92992,Ok,oke,oke,5,1,False,
76435,Saya suka,saya suka,suka,5,2,False,
84005,Ok,oke,oke,5,1,False,
80918,bagus,bagus,bagus,5,1,False,
60768,Ribet gak bisa auto detect dan kurang sensitif di Map padahal udah diupdate. Tentunya Gmapnsudah aktif juga ya dan ini tidak sekali...,ribet tidak bisa auto detect dan kurang sensitif di map padahal sudah diupdate tentunya gmapnsudah aktif juga ya dan ini tidak sekali,ribet tidak auto detect kurang sensitif map padahal diupdate tentu gmapnsudah aktif tidak sekali,2,22,False,
50075,"driver arogan, kurng ramah",pengemudi arogan kurang ramah,pengemudi arogan kurang ramah,1,4,False,
27702,"sangat disayangkan untuk pelayana gomartnya,terutama bagi belanja Indomie goreng, tertera haga diskon persatuan 1900rupiah,setelah cek out dan belanja jadi 40.900.biaya penanganan sampai bisa 28.800 itu jebakan.ngerampok apa bagaimana bos....?????",sangat disayangkan untuk pelayanan gomartnya terutama bagi belanja indomie goreng tertera harga diskon persatuan rupiah setelah cek out dan belanja jadi biaya penanganan sampai bisa itu jebakan ngerampok apa bagaimana bos,sangat disayangkan layan gomartnya utama belanja indomie goreng tera harga diskon satu rupiah cek out belanja jadi biaya penanganan jebak ngerampok apa bagaimana bos,3,31,False,
42142,"berhenti gw make ni aplikasi, lelet banget ga pernah dapet dapet driver ngorder makanan telat mulu akhirnya ga dapet driver nunggu lama lama buang buang waktu aja, niatnya make ni aplikasi biar cepet biar ga keluar eh malah lama, mana ga bisa di cancel lagi",berhenti saya pakai ini aplikasi lelet banget tidak pernah dapat dapat pengemudi ngorder makanan telat terus akhirnya tidak dapat pengemudi menunggu lama lama buang buang waktu aja niatnya pakai ini aplikasi biar cepat biar tidak keluar eh malah lama mana tidak bisa di batal lagi,henti pakai aplikasi lelet banget tidak pernah pengemudi ngorder makan telat terus akhir tidak pengemudi tunggu lama lama buang buang waktu aja niat pakai aplikasi biar cepat biar tidak keluar eh malah lama mana tidak batal,1,45,False,
45081,Lama mendapatkan driver pelayanan kurang puas,lama mendapatkan pengemudi pelayanan kurang puas,lama dapat pengemudi layan kurang puas,1,6,False,
16639,"MEMPERSULIT!!!!! top up sejuta , pas mau ditransfer ke akun bank keterangannya harus upgrade , pas Upgrade ngga di Acc!! dana nyangkut disuruh nunggu 3-4 hari mempersulit !!!",mempersulit top up sejuta pas mau ditransfer ke akun bank keterangannya harus upgrade pas upgrade tidak di setujui dana tersangkut disuruh menunggu hari mempersulit,sulit top up juta pas mau transfer akun bank terang upgrade pas upgrade tidak tuju dana sangkut suruh tunggu hari sulit,1,24,False,
20425,👍🏻,bagus,bagus,5,1,False,
88703,Gojek drivernya ramah ramah,gojek pengemudinya ramah ramah,gojek pengemudi ramah ramah,5,4,False,
150,oke dan cepat sekarang nggak banyak lagi promo nya,oke dan cepat sekarang tidak banyak lagi promo nya,oke cepat sekarang tidak banyak promo nya,5,9,False,
1762,"suka mesen tiba2 padahal mau ngecek, kasian abang gojeknya uda jauh jauh padahal aplikasi yang pesan bukan kehendak pengguna",suka memesan tiba padahal mau ngecek kasihan abang gojeknya uda jauh jauh padahal aplikasi yang pesan bukan kehendak pengguna,suka pesan tiba padahal mau ngecek kasihan abang gojek uda jauh jauh padahal aplikasi pesan bukan hendak pengguna,1,19,False,
63121,Driver tepat waktu,pengemudi tepat waktu,pengemudi tepat waktu,5,3,False,
69162,"Halah.... saat gerimis, pesan terus lama menunggu konfirmasi. Maaf lagi laris manis... anjay",halah saat gerimis pesan terus lama menunggu konfirmasi maaf lagi laris manis anjay,halah gerimis pesan terus lama tunggu konfirmasi maaf laris manis anjay,4,13,False,
64884,"Setelah di update kenapa dapet drivernya selalu jauh ya, saya tau kalo ada sistem prioritas tapi ini juga kasian buat para drivernya kalo lokasi nya terlalu jauh, sering banget dapet yg jauh jauh itu tolong dibenahi lagi sistem nya terimakasih",setelah di pembaruan kenapa dapat pengemudinya selalu jauh ya saya tau kalau ada sistem prioritas tapi ini juga kasihan buat para pengemudinya kalau lokasi nya terlalu jauh sering banget dapat yang jauh jauh itu tolong dibenahi lagi sistem nya terima kasih,baru pengemudi selalu jauh tau kalau sistem prioritas kasihan buat pengemudi kalau lokasi nya terlalu jauh sering banget jauh jauh benah sistem nya terima kasih,3,41,False,
