id,asal,ulasan,ulasan_normalized,ulasan_clean,rating,word_count,menjadi_kosong,catatan_pemeriksa
576,ditandai_putaran_1,"ini gojek kenapa selalu nyari driver yg jauh si padahal driver disekitar kita tuh banyak, jadi buang buang waktu buat nunggu, dari sisi driver jg kasian jemput sampe 2km, ini IT pada bisa kerja ga sih? kalo di grab ga jauh drivernya, lebih baik grab efisiensi waktu dan harga jg lebih hemat grab",ini gojek kenapa selalu mencari pengemudi yang jauh si padahal pengemudi disekitar kita itu banyak jadi buang buang waktu buat menunggu dari sisi pengemudi juga kasihan jemput sampai kilometer ini itu pada bisa kerja tidak sih kalau di grab tidak jauh pengemudinya lebih baik grab efisiensi waktu dan harga juga lebih hemat grab,gojek selalu cari pengemudi jauh si padahal pengemudi sekitar banyak jadi buang buang waktu buat tunggu sisi pengemudi kasihan jemput kilometer kerja tidak sih kalau grab tidak jauh pengemudi lebih baik grab efisiensi waktu harga lebih hemat grab,1,53,False,
579,ditandai_putaran_1,"pada saat memesan gocar alamat tujuan salah lebih jauh (13km) jadi tarif lebih mahal, bukan nya secara otomatis memperbaiki harga saat perubahan rute tujuan (hanya 5km padahal) saat di jemput driver 😑 merugikan costumer, mau niat cancel driver gak tega, tapi tolong untuk otomatis merubah tarif setelah merubah Sampek kapok untuk sementara pake aplikasi ini edit : gak makasih, 5km untuk 167k :) saya kapok.",pada saat memesan gocar alamat tujuan salah lebih jauh kilometer jadi tarif lebih mahal bukan nya secara otomatis memperbaiki harga saat perubahan rute tujuan hanya kilometer padahal saat di jemput pengemudi kesal merugikan pelanggan mau niat batal pengemudi tidak tega tapi tolong untuk otomatis merubah tarif setelah merubah sampai kapok untuk sementara pakai aplikasi ini edit tidak terima kasih kilometer untuk k saya kapok,pesan gocar alamat tuju salah lebih jauh kilometer jadi tarif lebih mahal bukan nya otomatis baik harga ubah rute tuju kilometer padahal jemput pengemudi kesal rugi pelanggan mau niat batal pengemudi tidak tega otomatis rubah tarif rubah kapok pakai aplikasi edit tidak terima kasih kilometer k kapok,1,64,False,
1762,ditandai_putaran_1,"suka mesen tiba2 padahal mau ngecek, kasian abang gojeknya uda jauh jauh padahal aplikasi yang pesan bukan kehendak pengguna",suka memesan tiba padahal mau ngecek kasihan abang gojeknya uda jauh jauh padahal aplikasi yang pesan bukan kehendak pengguna,suka pesan tiba padahal mau ngecek kasihan abang gojek uda jauh jauh padahal aplikasi pesan bukan hendak pengguna,1,19,False,
4294,ditandai_putaran_1,"luarbiasa sameday dishopee ya parah melebihi sameday jkrta bandung kmrn saya kirim dr jkrta ,ini td siang saya beli BRG dishopee kirim dr jam 2,17 blm smpai juga hubungi chat shopee ga bisa bantu dan parahnya ga jelas 23 menit pengantaran dr sore td ga bergerak JD gatau kapan dianter ,buruk sekali samedaynya gojek ya ,maunya instan biasa TPI layanan toko tidak menyediakan Tidka rekomen ya pke layanan ini pdhal byr ongkos dishopee bukan gratis !",luarbiasa sameday dishopee ya parah melebihi sameday jakarta bandung kemarin saya kirim dari jakarta ini tadi siang saya beli barang dishopee kirim dari jam belum sampai juga hubungi chat shopee tidak bisa bantu dan parahnya tidak jelas menit pengantaran dari sore tadi tidak bergerak jadi tidak tahu kapan dianter buruk sekali samedaynya gojek ya maunya instan biasa tapi layanan toko tidak menyediakan tidak rekomen ya pakai layanan ini padahal bayar ongkos dishopee bukan gratis,luarbiasa sameday dishopee parah lebih sameday jakarta bandung kemarin kirim jakarta tadi siang beli barang dishopee kirim jam belum hubung chat shopee tidak bantu parah tidak jelas menit antar sore tadi tidak gerak jadi tidak tahu kapan anter buruk sekali samedaynya gojek mau instan biasa layan toko tidak sedia tidak rekomen pakai layan padahal bayar ongkos dishopee bukan gratis,1,74,False,
11406,ditandai_putaran_1,"saran ya buat gojek.. untuk batasan usia di berlakukan atau minimal kasih cek kesehatan buat para driver yg udh lnjut usia atau gmn gtu caranya buat kslamatan driver dan jg penumpang, saya beberapa kali loh dapet yg udh tuaaaaaaa banget dan beliau2 itu kasian karna bawa mtornya aja udh ga bener , trus bberapa kali saya liat di jalan driver yg sudah sangat berumur jatuh di jalan bahkan ada yang nabrak tembok sampai2 jatuh ke got karna hilang keseimbangan dan katanya krna penyakitnya kmbuh, please",saran ya buat gojek untuk batasan usia di berlakukan atau minimal kasih cek kesehatan buat para pengemudi yang sudah lnjut usia atau bagaimana begitu caranya buat kslamatan pengemudi dan juga penumpang saya beberapa kali loh dapat yang sudah tua banget dan beliau itu kasihan karena bawa mtornya aja sudah tidak benar terus bberapa kali saya liat di jalan pengemudi yang sudah sangat berumur jatuh di jalan bahkan ada yang nabrak tembok sampai jatuh ke got karena hilang keseimbangan dan katanya karena penyakitnya kmbuh tolong,saran buat gojek batas usia laku minimal kasih cek sehat buat pengemudi lnjut usia bagaimana cara buat kslamatan pengemudi penumpang beberapa kali loh tua banget beliau kasihan bawa mtornya aja tidak benar terus bberapa kali liat jalan pengemudi sangat umur jatuh jalan bahkan nabrak tembok jatuh got hilang imbang kata sakit kmbuh,4,84,False,
12257,ditandai_putaran_1,"pencarian alamat online tidak tepat dengan titik koordinat atau driver nya yg kurang pengalaman . sudah bayar mahal mahal ,suruh jemput tempat tetangga beda blok. kimbek lah",pencarian alamat online tidak tepat dengan titik koordinat atau pengemudi nya yang kurang pengalaman sudah bayar mahal mahal suruh jemput tempat tetangga beda blok kimbek lah,cari alamat online tidak tepat titik koordinat pengemudi nya kurang pengalaman bayar mahal mahal suruh jemput tempat tetangga beda blok kimbek lah,1,26,False,
14889,ditandai_putaran_1,appp anjinggg lemot,ap anjing lemot,ap anjing lemot,1,3,False,
15603,ditandai_putaran_1,"pengen nyari makanan dibawah 20rb, ongkirnya 17rb 🥲",ingin mencari makanan dibawah ribu ongkos kirimnya ribu kecewa,cari makan bawah ribu ongkos kirim ribu kecewa,3,9,False,
16131,ditandai_putaran_1,lebih murah aplikasi sebelah,lebih murah aplikasi sebelah,lebih murah aplikasi sebelah,4,4,False,
17934,ditandai_putaran_1,"kenapa kalo setiap habis ujan selalu gada yg mau pick up??? bukannnya dengan adanya gojek tujuannya mempermudah ya dan efisien , untuk harga pasti customer juga akan lebihin kok, kok gini banget ya gojek",kenapa kalau setiap habis hujan selalu tidak ada yang mau pick up bukanya dengan adanya gojek tujuannya mempermudah ya dan efisien untuk harga pasti pelanggan juga akan lebihin kok kok gini banget ya gojek,kalau habis hujan selalu tidak mau pick up buka ada gojek tuju mudah efisien harga pelanggan lebihin kok kok gin banget gojek,5,34,False,
