id,asal,ulasan,ulasan_normalized,ulasan_clean,rating,word_count,catatan_pemeriksa
576,perlu_konfirmasi_ronde2,"ini gojek kenapa selalu nyari driver yg jauh si padahal driver disekitar kita tuh banyak, jadi buang buang waktu buat nunggu, dari sisi driver jg kasian jemput sampe 2km, ini IT pada bisa kerja ga sih? kalo di grab ga jauh drivernya, lebih baik grab efisiensi waktu dan harga jg lebih hemat grab",ini gojek kenapa selalu mencari pengemudi yang jauh si padahal pengemudi disekitar kita itu banyak jadi buang buang waktu buat menunggu dari sisi pengemudi juga kasihan jemput sampai kilometer ini it pada bisa kerja tidak sih kalau di grab tidak jauh pengemudinya lebih baik grab efisiensi waktu dan harga juga lebih hemat grab,gojek selalu cari pengemudi jauh si padahal pengemudi sekitar banyak jadi buang buang waktu buat tunggu sisi pengemudi kasihan jemput kilometer it bisa kerja tidak sih kalau grab tidak jauh pengemudi lebih baik grab efisiensi waktu harga lebih hemat grab,1,53,
579,perlu_konfirmasi_ronde2,"pada saat memesan gocar alamat tujuan salah lebih jauh (13km) jadi tarif lebih mahal, bukan nya secara otomatis memperbaiki harga saat perubahan rute tujuan (hanya 5km padahal) saat di jemput driver 😑 merugikan costumer, mau niat cancel driver gak tega, tapi tolong untuk otomatis merubah tarif setelah merubah Sampek kapok untuk sementara pake aplikasi ini edit : gak makasih, 5km untuk 167k :) saya kapok.",pada saat memesan gocar alamat tujuan salah lebih jauh kilometer jadi tarif lebih mahal bukan nya secara otomatis memperbaiki harga saat perubahan rute tujuan hanya kilometer padahal saat di jemput pengemudi merugikan pelanggan mau niat batal pengemudi tidak tega tapi tolong untuk otomatis merubah tarif setelah merubah sampai kapok untuk sementara pakai aplikasi ini edit tidak terima kasih kilometer untuk k saya kapok,pesan gocar alamat tuju salah lebih jauh kilometer jadi tarif lebih mahal bukan nya otomatis perbaiki harga ubah rute tuju kilometer padahal jemput pengemudi rugi pelanggan mau niat batal pengemudi tidak tega otomatis rubah tarif rubah kapok pakai aplikasi edit tidak terima kasih kilometer k kapok,1,63,
1576,perlu_konfirmasi_ronde2,veri good,sangat bagus,sangat bagus,5,2,
1762,perlu_konfirmasi_ronde2,"suka mesen tiba2 padahal mau ngecek, kasian abang gojeknya uda jauh jauh padahal aplikasi yang pesan bukan kehendak pengguna",suka memesan tiba padahal mau cek kasihan abang gojeknya sudah jauh jauh padahal aplikasi yang pesan bukan kehendak pengguna,suka pesan tiba padahal mau cek kasihan abang gojek jauh jauh padahal aplikasi pesan bukan hendak pengguna,1,19,
2533,perlu_konfirmasi_ronde2,Driver Gocar terkadang susah untuk nganter konsumen dengan alasan jauh lah jemput nya & sebagai nya. Inti nya Driver tidak mau jemput tapi lucu nya saat minta pembatalan harus konsumen yang ngebatalin. Pada hal konsumen mau menunggu.,pengemudi gocar terkadang susah untuk mengantar konsumen dengan alasan jauh lah jemput nya sebagai nya inti nya pengemudi tidak mau jemput tapi lucu nya saat minta pembatalan harus konsumen yang membatalkan pada hal konsumen mau menunggu,pengemudi gocar terkadang susah antar konsumen alas jauh lah jemput nya nya inti nya pengemudi tidak mau jemput lucu nya minta batal harus konsumen batal konsumen mau tunggu,4,36,
2693,perlu_konfirmasi_ronde2,pesan gofood.. drivernya dikasih double order jdi sampenya lama.. tolong dong gofood di benahin lg buat sistem double ordernya,pesan gofood pengemudinya dikasih ganda order jadi sampainya lama tolong dong gofood di benahin lagi buat sistem ganda ordernya,pesan gofood pengemudi kasih ganda order jadi sampai lama dong gofood benahi buat sistem ganda order,2,19,
4294,perlu_konfirmasi_ronde2,"luarbiasa sameday dishopee ya parah melebihi sameday jkrta bandung kmrn saya kirim dr jkrta ,ini td siang saya beli BRG dishopee kirim dr jam 2,17 blm smpai juga hubungi chat shopee ga bisa bantu dan parahnya ga jelas 23 menit pengantaran dr sore td ga bergerak JD gatau kapan dianter ,buruk sekali samedaynya gojek ya ,maunya instan biasa TPI layanan toko tidak menyediakan Tidka rekomen ya pke layanan ini pdhal byr ongkos dishopee bukan gratis !",luarbiasa sameday dishopee ya parah melebihi sameday jakarta bandung kemarin saya kirim dari jakarta ini tadi siang saya beli barang dishopee kirim dari jam belum sampai juga hubungi chat shopee tidak bisa bantu dan parahnya tidak jelas menit pengantaran dari sore tadi tidak bergerak jadi tidak tahu kapan diantar buruk sekali samedaynya gojek ya maunya instan biasa tapi layanan toko tidak menyediakan tidak rekomendasi ya pakai layanan ini padahal bayar ongkos dishopee bukan gratis,luarbiasa sameday dishopee parah lebih sameday jakarta bandung kemarin kirim jakarta tadi siang beli barang dishopee kirim jam belum hubung chat shopee tidak bisa bantu parah tidak jelas menit antar sore tadi tidak gerak jadi tidak tahu kapan antar buruk sekali samedaynya gojek mau instan biasa layan toko tidak sedia tidak rekomendasi pakai layan padahal bayar ongkos dishopee bukan gratis,1,74,
11406,perlu_konfirmasi_ronde2,"saran ya buat gojek.. untuk batasan usia di berlakukan atau minimal kasih cek kesehatan buat para driver yg udh lnjut usia atau gmn gtu caranya buat kslamatan driver dan jg penumpang, saya beberapa kali loh dapet yg udh tuaaaaaaa banget dan beliau2 itu kasian karna bawa mtornya aja udh ga bener , trus bberapa kali saya liat di jalan driver yg sudah sangat berumur jatuh di jalan bahkan ada yang nabrak tembok sampai2 jatuh ke got karna hilang keseimbangan dan katanya krna penyakitnya kmbuh, please",saran ya buat gojek untuk batasan usia di berlakukan atau minimal kasih cek kesehatan buat para pengemudi yang sudah lanjut usia atau bagaimana begitu caranya buat keselamatan pengemudi dan juga penumpang saya beberapa kali loh dapat yang sudah tua banget dan beliau itu kasihan karena bawa motornya aja sudah tidak benar terus beberapa kali saya liat di jalan pengemudi yang sudah sangat berumur jatuh di jalan bahkan ada yang nabrak tembok sampai jatuh ke got karena hilang keseimbangan dan katanya karena penyakitnya kambuh tolong,saran buat gojek batas usia laku minimal kasih cek sehat buat pengemudi lanjut usia bagaimana cara buat selamat pengemudi penumpang beberapa kali loh dapat tua banget beliau kasihan bawa motor aja tidak benar terus beberapa kali liat jalan pengemudi sangat umur jatuh jalan bahkan ada nabrak tembok jatuh got hilang imbang kata sakit kambuh,4,84,
14889,perlu_konfirmasi_ronde2,appp anjinggg lemot,ap anjing lemot,ap anjing lemot,1,3,
16466,perlu_konfirmasi_ronde2,kenapa ongkir Go-Jek naik lagi biasanya 7 rb menjadi 14,kenapa ongkos kirim go jek naik lagi biasanya ribu menjadi,ongkos kirim go jek naik biasa ribu jadi,3,10,
16630,perlu_konfirmasi_ronde2,"fakta dilapangan, orderan gofood baru akan di proses setelah driver sampai ke resto harusnya waktu menunggu dapat driver 10menit paling lama, kemudian aktifkan untuk cancel orderan jgn pelanggan yg dibuat menunggu sampai 1jam baru bisa di cancel keburu naik asam lambung",fakta dilapangan orderan gofood baru akan di proses setelah pengemudi sampai ke restoran harusnya waktu menunggu dapat pengemudi menit paling lama kemudian aktifkan untuk batal orderan jangan pelanggan yang dibuat menunggu sampai jam baru bisa di batal keburu naik asam lambung,fakta lapang order gofood baru akan proses pengemudi restoran harus waktu tunggu dapat pengemudi menit paling lama kemudian aktif batal order jangan pelanggan buat tunggu jam baru bisa batal keburu naik asam lambung,1,41,
17934,perlu_konfirmasi_ronde2,"kenapa kalo setiap habis ujan selalu gada yg mau pick up??? bukannnya dengan adanya gojek tujuannya mempermudah ya dan efisien , untuk harga pasti customer juga akan lebihin kok, kok gini banget ya gojek",kenapa kalau setiap habis hujan selalu tidak ada yang mau pick up bukanya dengan adanya gojek tujuannya mempermudah ya dan efisien untuk harga pasti pelanggan juga akan melebihkan kok kok begini banget ya gojek,kalau habis hujan selalu tidak ada mau pick up buka ada gojek tuju permudah efisien harga pelanggan akan lebih kok kok begini banget gojek,5,34,
24413,perlu_konfirmasi_ronde2,tolong kalo memang gabisa tepat waktu jangan kasih kami keterangan itu hilangkan saja terutama go food pengantaran express resto nyiapin lama datang telat gaada kenapa napa tapi di suruh bayar lebih buat pengantaran express,tolong kalau memang tidak bisa tepat waktu jangan kasih kami keterangan itu hilangkan saja terutama go food pengantaran ekspres restoran nyiapin lama datang telat tidak ada kenapa napa tapi di suruh bayar lebih buat pengantaran ekspres,kalau memang tidak bisa tepat waktu jangan kasih terang hilang utama go food antar ekspres restoran nyiapin lama datang telat tidak ada napa suruh bayar lebih buat antar ekspres,1,36,
27702,perlu_konfirmasi_ronde2,"sangat disayangkan untuk pelayana gomartnya,terutama bagi belanja Indomie goreng, tertera haga diskon persatuan 1900rupiah,setelah cek out dan belanja jadi 40.900.biaya penanganan sampai bisa 28.800 itu jebakan.ngerampok apa bagaimana bos....?????",sangat disayangkan untuk pelayanan gomartnya terutama bagi belanja indomie goreng tertera harga diskon persatuan rupiah setelah cek out dan belanja jadi biaya penanganan sampai bisa itu jebakan ngerampok apa bagaimana bos,sangat disayangkan layan gomartnya utama belanja indomie goreng tertera harga diskon satu rupiah cek out belanja jadi biaya penanganan bisa jebak ngerampok apa bagaimana bos,3,31,
31246,perlu_konfirmasi_ronde2,gak ada solusi saya ingin ganti nomor hp tapi tetap gak bisa padahan no baru belum pernah di pakai gojek,tidak ada solusi saya ingin ganti nomor ponsel tapi tetap tidak bisa padahal nomor baru belum pernah di pakai gojek,tidak ada solusi ganti nomor ponsel tetap tidak bisa padahal nomor baru belum pernah pakai gojek,1,20,
36329,perlu_konfirmasi_ronde2,sangat memuaskan aplikasi dan sistem pelayanan nya agar ditingkatkan lagi,sangat memuaskan aplikasi dan sistem pelayanan nya agar ditingkatkan lagi,sangat puas aplikasi sistem layan nya tingkatkan,5,10,
39692,perlu_konfirmasi_ronde2,kelamaan order go food nunggu lama ga bisa di cancel giliran udah menit terakhir dicancel toko karena gaada driver,kelamaan order go food menunggu lama tidak bisa di batal giliran sudah menit terakhir dibatalkan toko karena tidak ada pengemudi,lama order go food tunggu lama tidak bisa batal gilir menit akhir batal toko tidak ada pengemudi,2,20,
40164,perlu_konfirmasi_ronde2,fitur untuk pesanan makanan yang masuk ke resto yang gak dibarengi driver yang pick up sangat merugikan. Baik bagi customers dan restoran. Bagaimana kalau makanan sudah dibuat tapi tidak ada driver yang bisa pick up? Bagaimana dengan customers yang sudah menunggu lama tapi asal dibatalkan dengan CS yang tidak menyelesaikan keluhan customers. Sangat tidak profesional.,fitur untuk pesanan makanan yang masuk ke restoran yang tidak dibarengi pengemudi yang pick up sangat merugikan baik bagi pelanggan dan restoran bagaimana kalau makanan sudah dibuat tapi tidak ada pengemudi yang bisa pick up bagaimana dengan pelanggan yang sudah menunggu lama tapi asal dibatalkan dengan layanan pelanggan yang tidak menyelesaikan keluhan pelanggan sangat tidak profesional,fitur pesan makan masuk restoran tidak bareng pengemudi pick up sangat rugi baik pelanggan restoran bagaimana kalau makan buat tidak ada pengemudi bisa pick up bagaimana pelanggan tunggu lama asal batal layan pelanggan tidak selesai keluh pelanggan sangat tidak profesional,1,56,
41332,perlu_konfirmasi_ronde2,"saya 2x order beda hari susahhhhhhh sekali dapat dtivernya emang tidak ada armada atau bagaimana, klo tidak ada armada mending jangan buka aplikasi yahhh, ini tadi barusan order ya 2x hampir 1 jam ga dapat driver juga aduhhhhhhh parahhh sih tolong ya diperbaiki lagiiiiiii !!!!!!",saya x order beda hari susah sekali dapat pengemudinya memang tidak ada armada atau bagaimana kalau tidak ada armada mending jangan buka aplikasi ya ini tadi barusan order ya x hampir jam tidak dapat pengemudi juga aduh parah sih tolong ya diperbaiki lagi,x order beda hari susah sekali dapat pengemudi memang tidak ada armada bagaimana kalau tidak ada armada mending jangan buka aplikasi tadi barusan order x hampir jam tidak dapat pengemudi aduh parah sih perbaiki,1,43,
