token_asli,bentuk_baku,sumber
sendri,sendiri,catatan H-6
kurng,kurang,catatan H-6
pelayana,pelayanan,catatan H-6
haga,harga,catatan H-6
ntapss,mantap,catatan H-6
aplication,aplikasi,catatan H-6
datengnya,datangnya,catatan H-6
skali,sekali,catatan H-6
sampek,sampai,catatan H-6
jkrta,jakarta,catatan H-6
kmrn,kemarin,catatan H-6
td,tadi,catatan H-6
brg,barang,catatan H-6
tidka,tidak,catatan H-6
diksh,dikasih,catatan H-6
bgitu,begitu,catatan H-6
th,tahun,catatan H-6
kmudian,kemudian,catatan H-6
pnya,punya,catatan H-6
kalo,kalau,catatan H-6
mao,mau,catatan H-6
mn,mana,catatan H-6
customers,pelanggan,catatan H-6
orange,orang,catatan H-6
gada,tidak ada,catatan H-6
pengen,ingin,catatan H-6
emang,memang,catatan H-6
kasian,kasihan,catatan H-6
eror,error,catatan H-6
aps,aplikasi,catatan H-6
menguhungi,menghubungi,catatan H-6
turup,tutup,catatan H-6
