token_asli,frekuensi,kemungkinan_negasi,contoh_konteks,bentuk_baku,buang
ga,8147,True,apk ga jelas uda tau driver lama dpt nya disuruh nunggu spa setengah jam lebh. di cancel g bsa. memalukan seka,tidak,
gak,6224,True,"mengecewakan, lokasi sering gak tepat.",tidak,
gk,2225,True,"gk jelas nih, dapet drivernya jauh mulu",tidak,
gabisa,832,True,tolong sistem auto accept pesanan gofood itu di hilangin aja. ini pesanan saya di terima padahal resto udh tut,tidak bisa,
tdk,799,True,saya selalu pake gocar tdk ada aplikasi lain. tapi hari ini sy kecewa hrs batalin 3 kali saat hujan driver sus,tidak,
ngga,602,True,ngga bisa di download invoicenya,tidak,
nggak,581,True,oke dan cepat sekarang nggak banyak lagi promo nya,tidak,
gara,577,True,"kebangetan sop nya. udah verifikasi wajah berkali2 tetep gagal login, mau jd pelanggan gojek lagi, malah geser",gara-gara,
jgn,444,True,apk ga jelas uda tau driver lama dpt nya disuruh nunggu spa setengah jam lebh. di cancel g bsa. memalukan seka,jangan,
gajelas,403,True,"najis banget promo nya hilang hangus hanya gara gara di back dulu buat top up?, gajelas",tidak jelas,
gaada,389,True,"kecewa pelayanan driver hari ini! bilang lokasi jemput jauh dan malah suruh liat maps, pdhl sya tau lokasi dri",tidak ada,
blm,371,True,"saya kasih 5☆ blm nyoba sii, tp kalo ngecewain pelanggan langsung akuh turunin 4☆na! n` uninstall oke.. 😹🙏 ter",belum,
gamau,209,True,"kecewa pelayanan driver hari ini! bilang lokasi jemput jauh dan malah suruh liat maps, pdhl sya tau lokasi dri",tidak mau,
ngak,191,True,"sebenarnya aplikasi nya ini sangat bagus, cuma untuk pelayanan pengemudinya kurang bagus layanannya kadang-kad",tidak,
gausah,152,True,"kecewa pelayanan driver hari ini! bilang lokasi jemput jauh dan malah suruh liat maps, pdhl sya tau lokasi dri",tidak usah,
ngk,138,True,"dikota kendari rider sudah tidak ada. pesan makanan, tidak dapat driver sampa 2 jam... tolong gojek ditutup sa",tidak,
gatau,111,True,"keseringan lemot, jelek banget aplikasi ini di jaringan 4g dan 5g gatau kenapa, sampe² gw harus telat ketingga",tidak tahu,
gacor,83,True,gacor,bagus,
gapernah,79,True,tiap ada masalah gapernah ada solusi👎👎,tidak pernah,
game,67,True,"sorry nih om, ui nya tolong di buat simple elegan aja, ga usah lah cute cute rame lg pusing liat nya juga, per",game,
blom,56,True,untuk laporan pengaduan customer terlalu bertele tele dan saya blom ada solusi atas kendala saya yang ditipu d,belum,
driver,17278,False,aplikasi kek taik saya pesan gojek prioritas mencari driver setengah jam,pengemudi,
di,16920,False,apk ga jelas uda tau driver lama dpt nya disuruh nunggu spa setengah jam lebh. di cancel g bsa. memalukan seka,di,
nya,12251,False,apk ga jelas uda tau driver lama dpt nya disuruh nunggu spa setengah jam lebh. di cancel g bsa. memalukan seka,nya,
yg,8687,False,sangat membantu mesan makan yg lagi mager hehe,yang,
ok,5240,False,"applikasi ok,driver ok",oke,
ke,4510,False,"pesan gofood tidak bisa dibatalkan karena status tidak jelas, walau sudah nunggu 1 jam dan chat ke cs responny",ke,
udah,4289,False,"kebangetan sop nya. udah verifikasi wajah berkali2 tetep gagal login, mau jd pelanggan gojek lagi, malah geser",sudah,
good,3952,False,good,bagus,
gofood,3806,False,"gimana mau nyaman, sistem kalian semakin kesini semakin amburadul.driver selalu jemput jauh,argo gofood pelang",gofood,
drivernya,3263,False,gojek tolong map nya di benerin karna sering gosend salah titik kasian drivernya,pengemudinya,
ya,3241,False,aplkis gbk jrak 2 mter aja kena 50rb kondisi hujan tp ya jngn kek lintah darat,ya,
promo,3163,False,mls ga dikasi promo.,promo,
nunggu,3159,False,apk ga jelas uda tau driver lama dpt nya disuruh nunggu spa setengah jam lebh. di cancel g bsa. memalukan seka,menunggu,
gopay,3132,False,tolong dipermudah dipercepat proses perbaikan gopay,gopay,
pake,3000,False,lama ga pake aplikasi ini buat perjalanan biasanya cuma buat transaksi doang,pakai,
cancel,2705,False,apk ga jelas uda tau driver lama dpt nya disuruh nunggu spa setengah jam lebh. di cancel g bsa. memalukan seka,batal,
go,2586,False,nunggu driver untuk go food bisa 2 jam makin parah gojek,go,
dapet,2276,False,sok-sokan pasang tarif pengiriman termahal dari aplikasi ojol lain. tapi nyatanya gojek tetap tidak bisa memas,dapat,
apk,2197,False,apk ga jelas uda tau driver lama dpt nya disuruh nunggu spa setengah jam lebh. di cancel g bsa. memalukan seka,aplikasi,
gocar,2053,False,luarbiasa gocar mantap,gocar,
bgt,1974,False,kok skrng malah susah bgt ya dpt driver? pada kemana ini driver nya?,sangat,
udh,1839,False,tolong sistem auto accept pesanan gofood itu di hilangin aja. ini pesanan saya di terima padahal resto udh tut,sudah,
customer,1427,False,"gojek sekarang aneh, tiap order makanan dapet driver lama banget sampe 1 jam lebih. ga langsung di cancel sama",pelanggan,
sampe,1388,False,"beli makan jam sembilan sampe jam 12 apakah gak mati nunggu 3 jam padahal yang jual makan cuma 900 meter,",sampai,
klo,1348,False,apk ga jelas uda tau driver lama dpt nya disuruh nunggu spa setengah jam lebh. di cancel g bsa. memalukan seka,kalau,
resto,1344,False,tolong sistem auto accept pesanan gofood itu di hilangin aja. ini pesanan saya di terima padahal resto udh tut,restoran,
terimakasih,1323,False,"mohon agar gojek menambahkan fitur pembayaran via aplikasi dana, supaya pilihan metode pembayaran lebih beraga",terima kasih,
ongkir,1273,False,"rating saya begini karna sehabis update ongkirnya terlalu besar untuk gofood, dan saya langganan 3 bulan di go",ongkos kirim,
dulu,1220,False,kurang baik aplikasinya. ada kendala dalam mencari driver. saya menunggu selama 75 menit dan mau berangkat iba,dulu,
sy,1220,False,saya selalu pake gocar tdk ada aplikasi lain. tapi hari ini sy kecewa hrs batalin 3 kali saat hujan driver sus,saya,
tp,1196,False,aplkis gbk jrak 2 mter aja kena 50rb kondisi hujan tp ya jngn kek lintah darat,tapi,
chat,1167,False,"pesan gofood tidak bisa dibatalkan karena status tidak jelas, walau sudah nunggu 1 jam dan chat ke cs responny",chat,
fitur,1166,False,"mohon agar gojek menambahkan fitur pembayaran via aplikasi dana, supaya pilihan metode pembayaran lebih beraga",fitur,
cs,1153,False,"pesan gofood tidak bisa dibatalkan karena status tidak jelas, walau sudah nunggu 1 jam dan chat ke cs responny",layanan pelanggan,
rb,1133,False,"gimana mau nyaman, sistem kalian semakin kesini semakin amburadul.driver selalu jemput jauh,argo gofood pelang",ribu,
dpt,1022,False,apk ga jelas uda tau driver lama dpt nya disuruh nunggu spa setengah jam lebh. di cancel g bsa. memalukan seka,dapat,
karna,1020,False,gojek tolong map nya di benerin karna sering gosend salah titik kasian drivernya,karena,
jek,994,False,terimakasih go-jek,gojek,
food,965,False,nunggu driver untuk go food bisa 2 jam makin parah gojek,food,
voucher,953,False,"driver ny pada songong, pake voucher dari gojekny pas di pesen gk mau jalan jalan, maxim mah gk gitu",voucher,
up,873,False,"sekarang nyari driver susah banget, padahal banyak di sekitar tapi gak ada yg mau pick up",up,
batalin,871,False,pesen ga datang2 ujungnya suruh batalin,batalkan,
promonya,823,False,ok trimakasih banyak promonya.,promonya,
gimana,799,False,"gimana mau nyaman, sistem kalian semakin kesini semakin amburadul.driver selalu jemput jauh,argo gofood pelang",bagaimana,
ribet,797,False,"mau apapun jadi sat set tnpa ribet bersama gojek, memang andalan.",ribet,
update,795,False,"rating saya begini karna sehabis update ongkirnya terlalu besar untuk gofood, dan saya langganan 3 bulan di go",pembaruan,
gw,795,False,ini kenapa dah tolong gojek yg bener gw dah pesen makanan di dua resto berbeda selalu dibatalkan tiba tiba,saya,
gitu,771,False,"aplikasi rusak udh nunggu lama lama dibatalin terus ampe 6 kali, estimasi nyampe 14 menit pas udh 2 menit driv",begitu,
lg,770,False,"aplikasi tolol, dibatalin tiba2 udh nunggu lama, mana cuma minta maaf doang! 3x dicancel dengan waktu tunggu. ",lagi,
bener,761,False,gile gofood nya lama bener hampir 1 jam,benar,
best,760,False,the best,terbaik,
grab,734,False,"aplikasi tolol. dibandingkan dengan grab dan maxim gojek jauh di bawah. sudah mahal, susah bener dapat driver.",grab,
goride,733,False,"saya naik goride setiap minggu sudah 3 bulan, harga nya 12k, tiba² harga nya jadi 15k",goride,
nyari,724,False,sulit nyari driver,mencari,
hp,720,False,"akun dengan nik driver jangan hanya untuk satu nomor hp, biar bisa bikin akun lagi dengan nmr hp lain, supaya ",ponsel,
mulu,708,False,"gk jelas nih, dapet drivernya jauh mulu",terus,
the,667,False,the best,the,
respon,655,False,"demi apapun, aplikasi nya kayaknya harus di perbaiki ke depan nya, langganan gojek karena murah buat anter rs ",respons,
jd,626,False,"kebangetan sop nya. udah verifikasi wajah berkali2 tetep gagal login, mau jd pelanggan gojek lagi, malah geser",jadi,
mantab,617,False,pelayanan mantab,mantap,
dr,612,False,mudah2an lancar lagi ya limit gopinjamnya ya min. dr mulai diksh limit 800 loh.,dari,
jg,606,False,"selama ini selalu nyaman pakai gojek, lebih murah jg 😊",juga,
trus,591,False,tarif nya uda seminggu ini knp mahal trus. sy rutin bolak balik ktr kerumah biasa paling mahal 15 rb tapi ini ,terus,
nice,589,False,nice app☝🏻,bagus,
app,586,False,nice app☝🏻,aplikasi,
sdh,568,False,"kecewa banget dengan estimasi jam kedatangan..sdh nunggu lama, malah gak dapat driver.hingga waktu terbuang..d",sudah,
login,556,False,"kebangetan sop nya. udah verifikasi wajah berkali2 tetep gagal login, mau jd pelanggan gojek lagi, malah geser",login,
cepet,552,False,"kecewa banget sih lagi butuh cepet malah harus nunggu 30 jam buat daftar, untuk pendaftaran mungkin harus dipe",cepat,
pdhl,544,False,baru kali ini mesen gojek sudah dapat driver tertulis 7menit tiba namun sampai sejam lebih saya menunggu tak k,padahal,
gopaylater,544,False,"tiba tiba gopaylater saya diblokir, padahal saya selalu tepat waktu bayar tagihannya",gopaylater,
dibatalin,539,False,tolong sistem auto accept pesanan gofood itu di hilangin aja. ini pesanan saya di terima padahal resto udh tut,dibatalkan,
si,538,False,"akun dengan nik driver jangan hanya untuk satu nomor hp, biar bisa bikin akun lagi dengan nmr hp lain, supaya ",si,
utk,531,False,"telah pindah email hp.lok.propinsi t.pernah bermitra driver gojek dijkrta,dpt undangan utk aktifkan aplikasi m",untuk,
job,531,False,good job,pekerjaan,
dgn,527,False,alhamdulillah dgn adanya gojek yg tidak bisa nyetir sendiri bisa pergi kemana mana dgn selamat mksh gojek,dengan,
males,517,False,"asli pesen gofood pas ujan harus sabar"".. pernah pesen jam 8 malam datang jam 10 malam padahal dket cuma 2-3 k",malas,
mesen,506,False,baru kali ini mesen gojek sudah dapat driver tertulis 7menit tiba namun sampai sejam lebih saya menunggu tak k,memesan,
gosend,481,False,gojek tolong map nya di benerin karna sering gosend salah titik kasian drivernya,gosend,
an,474,False,"udh tau buru² driver batalin tanpa bilng padahal udh setengah jalan itu kocak kocak ni gojek, harus nyari driv",sekitar,
tpi,470,False,"padahal udh nyaman udah enak bgtt tpi kok makim sini makin susah cari drivernya, selalu lamaa, pdhal bukan fit",tapi,
banyakin,467,False,banyakin promoo atuh,perbanyak,
km,466,False,"memalukan, ujan sudah berenti dari jam 4 sore, jalan ga macet, masih jam 7 malem susahnya nyari driver dpt dri",kilometer,
ny,464,False,"driver ny pada songong, pake voucher dari gojekny pas di pesen gk mau jalan jalan, maxim mah gk gitu",nya,
eh,459,False,"demi apapun, aplikasi nya kayaknya harus di perbaiki ke depan nya, langganan gojek karena murah buat anter rs ",eh,
paylater,459,False,udh lama pake gojek..tapi gk pernah bisa pake paylater nyaa,paylater,
rating,452,False,"rating saya begini karna sehabis update ongkirnya terlalu besar untuk gofood, dan saya langganan 3 bulan di go",rating,
ngasih,448,False,perusahaan tersadis kepada drivernya karena punishment yg di berikan terlalu berat dan konsumennya pun asal ng,memberi,
skrg,447,False,"kemarin hampir 6 bulan gak bisa nulis review, skrg udh bisa. eeeehhh malah giliran gak bisa ambil foto dari ga",sekarang,
no,443,False,"setelah no telfon di blokir karna alasan yg sebenernya bukan salah aku di aplikasi sebelah, akhirnya beralih l",nomor,
makasih,441,False,makasih,terima kasih,
dicancel,429,False,"aplikasi tolol, dibatalin tiba2 udh nunggu lama, mana cuma minta maaf doang! 3x dicancel dengan waktu tunggu. ",dibatalkan,
lu,429,False,custemer di rating??bayangin aja beli di indomaret lu di tolak karena mungkin gak ramah?siapa yang jualan jasa,kamu,
later,427,False,gopay later ga bisa digunakan maaf saya kasih bintang 3,later,
ni,414,False,"udh tau buru² driver batalin tanpa bilng padahal udh setengah jalan itu kocak kocak ni gojek, harus nyari driv",ini,
tetep,411,False,"kebangetan sop nya. udah verifikasi wajah berkali2 tetep gagal login, mau jd pelanggan gojek lagi, malah geser",tetap,
tuh,411,False,kalau punya driver tuh minimal yg tau caranya bersyukur min. ini udh ga bersyukur masih di kasih orderan malah,itu,
krn,410,False,"hari ini saya pesan gocar ber5 dgn anak, sopir kurang sopan agak marah karena kami pesan gocar biasa, saya tid",karena,
error,410,False,sistem pemesanan makanan dan maps sering error terutama saat setelah hujan. saya menunggu pemesanan makanan > ,error,
