topic_id,kategori,keyword,rank,bobot,relevance,df_korpus,lift,n_gram,n_dokumen
8,"Akun, Login & Verifikasi",nomor,1,0.023959,-1.1691,0.0223,6.98,1,
8,"Akun, Login & Verifikasi",akun,2,0.030068,-1.182,0.0408,5.57,1,
8,"Akun, Login & Verifikasi",login,3,0.017296,-1.3221,0.015,10.86,1,
8,"Akun, Login & Verifikasi",daftar,4,0.014352,-1.4487,0.0126,9.66,1,
8,"Akun, Login & Verifikasi",hapus,5,0.014354,-1.5639,0.0195,3.89,1,
8,"Akun, Login & Verifikasi",ribet,6,0.012897,-1.5776,0.0155,6.4,1,
8,"Akun, Login & Verifikasi",ponsel,7,0.014206,-1.5947,0.0192,6.17,1,
8,"Akun, Login & Verifikasi",email,8,0.010944,-1.6531,0.01,9.22,1,
8,"Akun, Login & Verifikasi",lupa,9,0.009592,-1.6569,0.0083,5.72,1,
8,"Akun, Login & Verifikasi",verifikasi,10,0.010775,-1.6993,0.0117,12.67,1,
8,"Akun, Login & Verifikasi",verifikasi wajah,1,0.915033,,,,2,153.0
6,Akurasi Lokasi & Rute,titik,1,0.016386,-1.5124,0.02,6.79,1,
6,Akurasi Lokasi & Rute,jalan,2,0.018324,-1.5822,0.0335,4.58,1,
6,Akurasi Lokasi & Rute,alamat,3,0.013189,-1.6269,0.0135,7.6,1,
6,Akurasi Lokasi & Rute,sesuai,4,0.014605,-1.7085,0.0288,4.68,1,
6,Akurasi Lokasi & Rute,motor,5,0.010123,-1.7745,0.0123,6.64,1,
6,Akurasi Lokasi & Rute,tuju,6,0.009978,-1.8165,0.0138,5.58,1,
6,Akurasi Lokasi & Rute,rumah,7,0.010646,-1.8282,0.0161,4.28,1,
6,Akurasi Lokasi & Rute,barang,8,0.009456,-1.9099,0.0134,4.11,1,
6,Akurasi Lokasi & Rute,nyaman,9,0.007748,-1.9554,0.0108,4.95,1,
6,Akurasi Lokasi & Rute,bawa,10,0.007394,-1.9572,0.009,6.17,1,
