bulan,kategori,jumlah,periode_parsial
2024-05-01,Pesanan GoFood & Pembatalan,124,True
2024-05-01,Ketersediaan & Respons Mitra Driver,118,True
2024-05-01,Layanan Pelanggan & Penanganan Keluhan,107,True
2024-05-01,"Tarif, Ongkir & Promo",102,True
2024-05-01,Transaksi & Saldo GoPay,102,True
2024-05-01,"GoPayLater, GoPinjam & Penagihan",81,True
2024-05-01,Performa & Gangguan Aplikasi,80,True
2024-05-01,"Akun, Login & Verifikasi",58,True
2024-05-01,Akurasi Lokasi & Rute,39,True
2024-06-01,Ketersediaan & Respons Mitra Driver,501,False
2024-06-01,Pesanan GoFood & Pembatalan,446,False
2024-06-01,"Tarif, Ongkir & Promo",406,False
2024-06-01,Layanan Pelanggan & Penanganan Keluhan,393,False
2024-06-01,Transaksi & Saldo GoPay,312,False
2024-06-01,"GoPayLater, GoPinjam & Penagihan",306,False
2024-06-01,Performa & Gangguan Aplikasi,281,False
2024-06-01,"Akun, Login & Verifikasi",203,False
2024-06-01,Akurasi Lokasi & Rute,149,False
2024-07-01,Ketersediaan & Respons Mitra Driver,512,False
2024-07-01,"Tarif, Ongkir & Promo",423,False
2024-07-01,Pesanan GoFood & Pembatalan,388,False
2024-07-01,Layanan Pelanggan & Penanganan Keluhan,341,False
2024-07-01,Performa & Gangguan Aplikasi,302,False
2024-07-01,Transaksi & Saldo GoPay,280,False
2024-07-01,"GoPayLater, GoPinjam & Penagihan",244,False
2024-07-01,"Akun, Login & Verifikasi",188,False
2024-07-01,Akurasi Lokasi & Rute,162,False
2024-08-01,Ketersediaan & Respons Mitra Driver,437,False
2024-08-01,"Tarif, Ongkir & Promo",365,False
2024-08-01,Pesanan GoFood & Pembatalan,364,False
2024-08-01,Layanan Pelanggan & Penanganan Keluhan,344,False
2024-08-01,"GoPayLater, GoPinjam & Penagihan",259,False
2024-08-01,Transaksi & Saldo GoPay,243,False
2024-08-01,Performa & Gangguan Aplikasi,204,False
2024-08-01,Akurasi Lokasi & Rute,162,False
2024-08-01,"Akun, Login & Verifikasi",151,False
2024-09-01,Ketersediaan & Respons Mitra Driver,495,False
2024-09-01,Pesanan GoFood & Pembatalan,425,False
2024-09-01,"Tarif, Ongkir & Promo",355,False
2024-09-01,Layanan Pelanggan & Penanganan Keluhan,355,False
2024-09-01,Transaksi & Saldo GoPay,300,False
2024-09-01,"GoPayLater, GoPinjam & Penagihan",256,False
2024-09-01,Performa & Gangguan Aplikasi,247,False
2024-09-01,"Akun, Login & Verifikasi",209,False
2024-09-01,Akurasi Lokasi & Rute,182,False
2024-10-01,Ketersediaan & Respons Mitra Driver,473,False
2024-10-01,Pesanan GoFood & Pembatalan,468,False
2024-10-01,"Tarif, Ongkir & Promo",402,False
2024-10-01,Layanan Pelanggan & Penanganan Keluhan,368,False
2024-10-01,"GoPayLater, GoPinjam & Penagihan",292,False
2024-10-01,Performa & Gangguan Aplikasi,279,False
2024-10-01,Transaksi & Saldo GoPay,270,False
2024-10-01,"Akun, Login & Verifikasi",197,False
2024-10-01,Akurasi Lokasi & Rute,172,False
2024-11-01,Ketersediaan & Respons Mitra Driver,753,False
2024-11-01,Pesanan GoFood & Pembatalan,631,False
2024-11-01,"Tarif, Ongkir & Promo",512,False
2024-11-01,Layanan Pelanggan & Penanganan Keluhan,486,False
2024-11-01,Transaksi & Saldo GoPay,322,False
2024-11-01,"GoPayLater, GoPinjam & Penagihan",295,False
2024-11-01,Performa & Gangguan Aplikasi,290,False
2024-11-01,"Akun, Login & Verifikasi",188,False
