token_asli,frekuensi,kemungkinan_negasi,contoh_konteks,bentuk_baku,buang
ga,8147,True,apk ga jelas uda tau driver lama dpt nya disuruh nunggu spa setengah jam lebh. di cancel g bsa. memalukan seka,,
gak,6224,True,"mengecewakan, lokasi sering gak tepat.",,
gk,2225,True,"gk jelas nih, dapet drivernya jauh mulu",,
gabisa,832,True,tolong sistem auto accept pesanan gofood itu di hilangin aja. ini pesanan saya di terima padahal resto udh tut,,
tdk,799,True,saya selalu pake gocar tdk ada aplikasi lain. tapi hari ini sy kecewa hrs batalin 3 kali saat hujan driver sus,,
ngga,602,True,ngga bisa di download invoicenya,,
nggak,581,True,oke dan cepat sekarang nggak banyak lagi promo nya,,
gara,577,True,"kebangetan sop nya. udah verifikasi wajah berkali2 tetep gagal login, mau jd pelanggan gojek lagi, malah geser",,
jgn,444,True,apk ga jelas uda tau driver lama dpt nya disuruh nunggu spa setengah jam lebh. di cancel g bsa. memalukan seka,,
gajelas,403,True,"najis banget promo nya hilang hangus hanya gara gara di back dulu buat top up?, gajelas",,
gaada,389,True,"kecewa pelayanan driver hari ini! bilang lokasi jemput jauh dan malah suruh liat maps, pdhl sya tau lokasi dri",,
blm,371,True,"saya kasih 5☆ blm nyoba sii, tp kalo ngecewain pelanggan langsung akuh turunin 4☆na! n` uninstall oke.. 😹🙏 ter",,
gamau,209,True,"kecewa pelayanan driver hari ini! bilang lokasi jemput jauh dan malah suruh liat maps, pdhl sya tau lokasi dri",,
ngak,191,True,"sebenarnya aplikasi nya ini sangat bagus, cuma untuk pelayanan pengemudinya kurang bagus layanannya kadang-kad",,
gausah,152,True,"kecewa pelayanan driver hari ini! bilang lokasi jemput jauh dan malah suruh liat maps, pdhl sya tau lokasi dri",,
ngk,138,True,"dikota kendari rider sudah tidak ada. pesan makanan, tidak dapat driver sampa 2 jam... tolong gojek ditutup sa",,
gatau,111,True,"keseringan lemot, jelek banget aplikasi ini di jaringan 4g dan 5g gatau kenapa, sampe² gw harus telat ketingga",,
gacor,83,True,gacor,,
gapernah,79,True,tiap ada masalah gapernah ada solusi👎👎,,
game,67,True,"sorry nih om, ui nya tolong di buat simple elegan aja, ga usah lah cute cute rame lg pusing liat nya juga, per",,
blom,56,True,untuk laporan pengaduan customer terlalu bertele tele dan saya blom ada solusi atas kendala saya yang ditipu d,,
driver,17278,False,aplikasi kek taik saya pesan gojek prioritas mencari driver setengah jam,,
di,16920,False,apk ga jelas uda tau driver lama dpt nya disuruh nunggu spa setengah jam lebh. di cancel g bsa. memalukan seka,,
nya,12251,False,apk ga jelas uda tau driver lama dpt nya disuruh nunggu spa setengah jam lebh. di cancel g bsa. memalukan seka,,
yg,8687,False,sangat membantu mesan makan yg lagi mager hehe,,
ok,5240,False,"applikasi ok,driver ok",,
ke,4510,False,"pesan gofood tidak bisa dibatalkan karena status tidak jelas, walau sudah nunggu 1 jam dan chat ke cs responny",,
udah,4289,False,"kebangetan sop nya. udah verifikasi wajah berkali2 tetep gagal login, mau jd pelanggan gojek lagi, malah geser",,
good,3952,False,good,,
gofood,3806,False,"gimana mau nyaman, sistem kalian semakin kesini semakin amburadul.driver selalu jemput jauh,argo gofood pelang",,
drivernya,3263,False,gojek tolong map nya di benerin karna sering gosend salah titik kasian drivernya,,
ya,3241,False,aplkis gbk jrak 2 mter aja kena 50rb kondisi hujan tp ya jngn kek lintah darat,,
promo,3163,False,mls ga dikasi promo.,,
nunggu,3159,False,apk ga jelas uda tau driver lama dpt nya disuruh nunggu spa setengah jam lebh. di cancel g bsa. memalukan seka,,
gopay,3132,False,tolong dipermudah dipercepat proses perbaikan gopay,,
pake,3000,False,lama ga pake aplikasi ini buat perjalanan biasanya cuma buat transaksi doang,,
cancel,2705,False,apk ga jelas uda tau driver lama dpt nya disuruh nunggu spa setengah jam lebh. di cancel g bsa. memalukan seka,,
go,2586,False,nunggu driver untuk go food bisa 2 jam makin parah gojek,,
dapet,2276,False,sok-sokan pasang tarif pengiriman termahal dari aplikasi ojol lain. tapi nyatanya gojek tetap tidak bisa memas,,
apk,2197,False,apk ga jelas uda tau driver lama dpt nya disuruh nunggu spa setengah jam lebh. di cancel g bsa. memalukan seka,,
gocar,2053,False,luarbiasa gocar mantap,,
bgt,1974,False,kok skrng malah susah bgt ya dpt driver? pada kemana ini driver nya?,,
udh,1839,False,tolong sistem auto accept pesanan gofood itu di hilangin aja. ini pesanan saya di terima padahal resto udh tut,,
customer,1427,False,"gojek sekarang aneh, tiap order makanan dapet driver lama banget sampe 1 jam lebih. ga langsung di cancel sama",,
sampe,1388,False,"beli makan jam sembilan sampe jam 12 apakah gak mati nunggu 3 jam padahal yang jual makan cuma 900 meter,",,
klo,1348,False,apk ga jelas uda tau driver lama dpt nya disuruh nunggu spa setengah jam lebh. di cancel g bsa. memalukan seka,,
resto,1344,False,tolong sistem auto accept pesanan gofood itu di hilangin aja. ini pesanan saya di terima padahal resto udh tut,,
terimakasih,1323,False,"mohon agar gojek menambahkan fitur pembayaran via aplikasi dana, supaya pilihan metode pembayaran lebih beraga",,
ongkir,1273,False,"rating saya begini karna sehabis update ongkirnya terlalu besar untuk gofood, dan saya langganan 3 bulan di go",,
dulu,1220,False,kurang baik aplikasinya. ada kendala dalam mencari driver. saya menunggu selama 75 menit dan mau berangkat iba,,
sy,1220,False,saya selalu pake gocar tdk ada aplikasi lain. tapi hari ini sy kecewa hrs batalin 3 kali saat hujan driver sus,,
tp,1196,False,aplkis gbk jrak 2 mter aja kena 50rb kondisi hujan tp ya jngn kek lintah darat,,
chat,1167,False,"pesan gofood tidak bisa dibatalkan karena status tidak jelas, walau sudah nunggu 1 jam dan chat ke cs responny",,
fitur,1166,False,"mohon agar gojek menambahkan fitur pembayaran via aplikasi dana, supaya pilihan metode pembayaran lebih beraga",,
cs,1153,False,"pesan gofood tidak bisa dibatalkan karena status tidak jelas, walau sudah nunggu 1 jam dan chat ke cs responny",,
rb,1133,False,"gimana mau nyaman, sistem kalian semakin kesini semakin amburadul.driver selalu jemput jauh,argo gofood pelang",,
dpt,1022,False,apk ga jelas uda tau driver lama dpt nya disuruh nunggu spa setengah jam lebh. di cancel g bsa. memalukan seka,,
karna,1020,False,gojek tolong map nya di benerin karna sering gosend salah titik kasian drivernya,,
jek,994,False,terimakasih go-jek,,
food,965,False,nunggu driver untuk go food bisa 2 jam makin parah gojek,,
voucher,953,False,"driver ny pada songong, pake voucher dari gojekny pas di pesen gk mau jalan jalan, maxim mah gk gitu",,
up,873,False,"sekarang nyari driver susah banget, padahal banyak di sekitar tapi gak ada yg mau pick up",,
batalin,871,False,pesen ga datang2 ujungnya suruh batalin,,
promonya,823,False,ok trimakasih banyak promonya.,,
gimana,799,False,"gimana mau nyaman, sistem kalian semakin kesini semakin amburadul.driver selalu jemput jauh,argo gofood pelang",,
ribet,797,False,"mau apapun jadi sat set tnpa ribet bersama gojek, memang andalan.",,
update,795,False,"rating saya begini karna sehabis update ongkirnya terlalu besar untuk gofood, dan saya langganan 3 bulan di go",,
gw,795,False,ini kenapa dah tolong gojek yg bener gw dah pesen makanan di dua resto berbeda selalu dibatalkan tiba tiba,,
gitu,771,False,"aplikasi rusak udh nunggu lama lama dibatalin terus ampe 6 kali, estimasi nyampe 14 menit pas udh 2 menit driv",,
lg,770,False,"aplikasi tolol, dibatalin tiba2 udh nunggu lama, mana cuma minta maaf doang! 3x dicancel dengan waktu tunggu. ",,
bener,761,False,gile gofood nya lama bener hampir 1 jam,,
best,760,False,the best,,
grab,734,False,"aplikasi tolol. dibandingkan dengan grab dan maxim gojek jauh di bawah. sudah mahal, susah bener dapat driver.",,
goride,733,False,"saya naik goride setiap minggu sudah 3 bulan, harga nya 12k, tiba² harga nya jadi 15k",,
nyari,724,False,sulit nyari driver,,
hp,720,False,"akun dengan nik driver jangan hanya untuk satu nomor hp, biar bisa bikin akun lagi dengan nmr hp lain, supaya ",,
mulu,708,False,"gk jelas nih, dapet drivernya jauh mulu",,
the,667,False,the best,,
respon,655,False,"demi apapun, aplikasi nya kayaknya harus di perbaiki ke depan nya, langganan gojek karena murah buat anter rs ",,
jd,626,False,"kebangetan sop nya. udah verifikasi wajah berkali2 tetep gagal login, mau jd pelanggan gojek lagi, malah geser",,
mantab,617,False,pelayanan mantab,,
dr,612,False,mudah2an lancar lagi ya limit gopinjamnya ya min. dr mulai diksh limit 800 loh.,,
jg,606,False,"selama ini selalu nyaman pakai gojek, lebih murah jg 😊",,
trus,591,False,tarif nya uda seminggu ini knp mahal trus. sy rutin bolak balik ktr kerumah biasa paling mahal 15 rb tapi ini ,,
nice,589,False,nice app☝🏻,,
app,586,False,nice app☝🏻,,
sdh,568,False,"kecewa banget dengan estimasi jam kedatangan..sdh nunggu lama, malah gak dapat driver.hingga waktu terbuang..d",,
login,556,False,"kebangetan sop nya. udah verifikasi wajah berkali2 tetep gagal login, mau jd pelanggan gojek lagi, malah geser",,
cepet,552,False,"kecewa banget sih lagi butuh cepet malah harus nunggu 30 jam buat daftar, untuk pendaftaran mungkin harus dipe",,
pdhl,544,False,baru kali ini mesen gojek sudah dapat driver tertulis 7menit tiba namun sampai sejam lebih saya menunggu tak k,,
gopaylater,544,False,"tiba tiba gopaylater saya diblokir, padahal saya selalu tepat waktu bayar tagihannya",,
dibatalin,539,False,tolong sistem auto accept pesanan gofood itu di hilangin aja. ini pesanan saya di terima padahal resto udh tut,,
si,538,False,"akun dengan nik driver jangan hanya untuk satu nomor hp, biar bisa bikin akun lagi dengan nmr hp lain, supaya ",,
utk,531,False,"telah pindah email hp.lok.propinsi t.pernah bermitra driver gojek dijkrta,dpt undangan utk aktifkan aplikasi m",,
job,531,False,good job,,
dgn,527,False,alhamdulillah dgn adanya gojek yg tidak bisa nyetir sendiri bisa pergi kemana mana dgn selamat mksh gojek,,
males,517,False,"asli pesen gofood pas ujan harus sabar"".. pernah pesen jam 8 malam datang jam 10 malam padahal dket cuma 2-3 k",,
mesen,506,False,baru kali ini mesen gojek sudah dapat driver tertulis 7menit tiba namun sampai sejam lebih saya menunggu tak k,,
gosend,481,False,gojek tolong map nya di benerin karna sering gosend salah titik kasian drivernya,,
an,474,False,"udh tau buru² driver batalin tanpa bilng padahal udh setengah jalan itu kocak kocak ni gojek, harus nyari driv",,
tpi,470,False,"padahal udh nyaman udah enak bgtt tpi kok makim sini makin susah cari drivernya, selalu lamaa, pdhal bukan fit",,
banyakin,467,False,banyakin promoo atuh,,
km,466,False,"memalukan, ujan sudah berenti dari jam 4 sore, jalan ga macet, masih jam 7 malem susahnya nyari driver dpt dri",,
ny,464,False,"driver ny pada songong, pake voucher dari gojekny pas di pesen gk mau jalan jalan, maxim mah gk gitu",,
eh,459,False,"demi apapun, aplikasi nya kayaknya harus di perbaiki ke depan nya, langganan gojek karena murah buat anter rs ",,
paylater,459,False,udh lama pake gojek..tapi gk pernah bisa pake paylater nyaa,,
rating,452,False,"rating saya begini karna sehabis update ongkirnya terlalu besar untuk gofood, dan saya langganan 3 bulan di go",,
ngasih,448,False,perusahaan tersadis kepada drivernya karena punishment yg di berikan terlalu berat dan konsumennya pun asal ng,,
skrg,447,False,"kemarin hampir 6 bulan gak bisa nulis review, skrg udh bisa. eeeehhh malah giliran gak bisa ambil foto dari ga",,
