bulan,jumlah,rata_rating,periode_parsial
2024-05,1879,3.97,True
2024-06,6275,3.93,False
2024-07,6641,4.03,False
2024-08,6186,4.08,False
2024-09,6362,3.98,False
2024-10,5453,3.83,False
2024-11,5622,3.61,False
2024-12,6571,3.67,False
2025-01,5265,3.77,False
2025-02,4777,3.89,False
2025-03,5240,3.73,False
2025-04,6213,3.73,False
2025-05,5489,4.03,False
2025-06,4468,4.0,False
2025-07,4856,3.94,False
2025-08,3620,3.72,False
2025-09,3625,3.88,False
2025-10,3859,3.72,False
2025-11,3744,3.69,False
2025-12,3855,3.57,False
